ANEXO 1. ORDENAMENTO DAS TAXAS DE ÓBITO POR AF (Homicídios e óbitos por AF; taxas médias 2010/2012 em municípios com mais de 20.000 habitantes). População Total. Brasil. 2010/2012.,,,,,,,,,,,
Município,UF,Popula-,n. homicídios AF,,,n. óbitos AF,,,Tx. Média*,,Posi-ção
Brasilândia de Minas,MG,"14,642",0,0,0,0,0,0,,,
Brasópolis,MG,"14,585",0,0,0,0,0,0,,,
Braúnas,MG,"4,973",0,0,0,0,0,0,,,
Bueno Brandão,MG,"10,886",0,0,0,0,0,0,,,
Buenópolis,MG,"10,281",2,0,0,2,0,1,,,
Bugre,MG,"3,999",0,0,0,0,0,0,,,
Cabeceira Grande,MG,"6,534",0,0,0,0,0,0,,,
Cabo Verde,MG,"13,838",0,0,0,0,0,0,,,
Cachoeira da Prata,MG,"3,635",0,2,0,0,2,0,,,
Cachoeira de Minas,MG,"11,107",0,0,0,0,0,0,,,
Cachoeira de Pajeú,MG,"9,025",0,2,0,0,2,1,,,
Cachoeira Dourada,MG,"2,536",0,0,0,0,0,0,,,
Caetanópolis,MG,"10,467",0,0,0,0,0,0,,,
Caiana,MG,"5,059",0,0,0,0,0,0,,,
Cajuri,MG,"4,026",0,0,1,0,0,1,,,
Caldas,MG,"13,764",0,0,0,0,0,0,,,
Camacho,MG,"3,097",0,0,0,0,0,0,,,
Cambuquira,MG,"12,612",0,1,0,0,1,0,,,
Campanário,MG,"3,586",0,0,0,0,0,0,,,
Campanha,MG,"15,635",0,0,0,0,0,0,,,
Campina Verde,MG,"19,358",0,2,1,1,2,1,,,
Campo Azul,MG,"3,701",0,0,0,0,0,0,,,
Campo do Meio,MG,"11,483",0,1,1,0,1,1,,,
Campo Florido,MG,"7,103",0,0,2,0,0,2,,,
Campos Altos,MG,"14,416",0,1,0,0,1,0,,,
Cana Verde,MG,"5,578",0,0,1,0,0,2,,,
Canaã,MG,"4,604",0,2,0,0,3,0,,,
Canápolis,MG,"11,476",0,0,0,0,0,0,,,
Candeias,MG,"14,616",0,0,1,0,0,1,,,
Cantagalo,MG,"4,249",0,0,0,0,0,0,,,
Caparaó,MG,"5,241",1,0,0,1,0,0,,,
Capela Nova,MG,"4,724",0,0,0,0,0,0,,,
Capetinga,MG,"7,039",0,0,0,0,0,0,,,
Capim Branco,MG,"9,030",0,0,1,0,0,1,,,
Capinópolis,MG,"15,424",1,0,0,1,0,0,,,
Capitão Andrade,MG,"5,019",0,0,1,0,0,2,,,
Capitão Enéas,MG,"14,372",0,0,0,0,0,0,,,
Capitólio,MG,"8,251",0,0,0,0,0,0,,,
Caputira,MG,"9,060",0,0,0,0,0,0,,,
Caranaíba,MG,"3,260",0,0,0,0,0,0,,,
Carbonita,MG,"9,176",0,0,0,0,0,0,,,
Careaçu,MG,"6,372",0,0,0,0,0,0,,,
Carlos Chagas,MG,"19,779",1,1,2,2,1,2,,,
Carmésia,MG,"2,477",0,0,0,0,0,0,,,
Carmo da Cachoeira,MG,"11,872",0,0,0,0,0,0,,,
Carmo da Mata,MG,"11,007",0,0,0,0,0,1,,,
Carmo de Minas,MG,"13,932",0,0,0,0,0,0,,,
Carmópolis de Minas,MG,"17,456",1,0,0,2,0,0,,,
Carneirinho,MG,"9,556",0,0,0,0,0,0,,,
Carrancas,MG,"3,958",0,0,0,0,0,0,,,
Carvalhópolis,MG,"3,380",0,0,0,0,0,0,,,
Carvalhos,MG,"4,530",0,0,0,0,0,0,,,
Casa Grande,MG,"2,241",0,0,0,0,0,0,,,
Cascalho Rico,MG,"2,893",0,0,0,0,0,0,,,
Cássia,MG,"17,433",0,1,0,0,1,1,,,
Catas Altas,MG,"4,938",0,0,0,0,0,0,,,
Catas Altas da Noruega,MG,"3,489",0,0,0,0,0,1,,,
Catuji,MG,"6,614",1,1,2,1,1,2,,,
Catuti,MG,"5,067",0,0,0,1,0,0,,,
Cedro do Abaeté,MG,"1,199",0,0,0,0,0,0,,,
Central de Minas,MG,"6,806",1,4,3,1,4,3,,,
Centralina,MG,"10,271",0,0,1,1,0,1,,,
Chácara,MG,"2,856",0,0,0,0,0,0,,,
Chalé,MG,"5,643",1,1,0,1,1,0,,,
Chapada do Norte,MG,"15,184",0,0,0,0,0,0,,,
Chapada Gaúcha,MG,"11,339",0,2,0,0,2,0,,,
Chiador,MG,"2,759",0,0,0,0,0,0,,,
Cipotânea,MG,"6,578",1,0,0,1,0,0,,,
Claraval,MG,"4,588",0,1,0,0,2,0,,,
Claro dos Poções,MG,"7,712",0,0,0,0,0,0,,,
Coimbra,MG,"7,135",0,2,1,0,2,1,,,
Coluna,MG,"8,972",0,0,0,0,0,0,,,
Comendador Gomes,MG,"2,992",0,1,0,0,1,0,,,
Comercinho,MG,"8,011",0,0,1,0,0,1,,,
Conceição da Aparecida,MG,"9,888",0,0,0,0,0,0,,,
Conceição da Barra de Minas,MG,"3,944",0,0,0,0,0,0,,,
Conceição das Pedras,MG,"2,755",0,0,0,0,0,0,,,
Conceição de Ipanema,MG,"4,468",0,0,0,0,0,0,,,
Conceição do Mato Dentro,MG,"17,798",0,0,0,0,0,0,,,
Conceição do Pará,MG,"5,214",0,0,0,0,0,0,,,
Conceição do Rio Verde,MG,"13,052",0,0,0,0,0,0,,,
Conceição dos Ouros,MG,"10,609",0,0,0,0,0,0,,,
Cônego Marinho,MG,"7,196",0,0,0,0,0,0,,,
Confins,MG,"6,077",0,0,0,0,0,0,,,
Congonhal,MG,"10,732",0,0,0,0,0,0,,,
Congonhas do Norte,MG,"4,950",1,0,0,1,0,0,,,
Conquista,MG,"6,591",0,0,0,0,0,0,,,
Consolação,MG,"1,732",0,0,0,0,0,0,,,
Coqueiral,MG,"9,241",0,0,0,0,0,0,,,
Cordisburgo,MG,"8,689",0,2,0,0,2,0,,,
Cordislândia,MG,"3,447",0,0,0,0,0,0,,,
Coroaci,MG,"10,190",0,2,0,0,2,0,,,
Coronel Murta,MG,"9,115",0,1,1,0,1,1,,,
Coronel Pacheco,MG,"2,996",0,0,0,0,0,0,,,
Coronel Xavier Chaves,MG,"3,319",0,0,0,0,0,0,,,
Córrego Danta,MG,"3,349",0,0,0,0,0,0,,,
Córrego do Bom Jesus,MG,"3,716",0,0,0,0,0,0,,,
Córrego Fundo,MG,"5,883",0,0,0,0,0,0,,,
Córrego Novo,MG,"3,050",1,0,0,1,0,0,,,
Couto de Magalhães de Minas,MG,"4,234",0,0,0,0,0,0,,,
Crisólita,MG,"6,161",0,0,1,0,0,1,,,
Cristais,MG,"11,553",0,0,0,0,1,0,,,
Cristália,MG,"5,787",0,0,3,0,0,3,,,
Cristiano Otoni,MG,"5,023",3,0,0,3,0,0,,,
Cristina,MG,"10,191",0,0,0,0,0,0,,,
Crucilândia,MG,"4,800",0,0,0,0,0,0,,,
Cruzeiro da Fortaleza,MG,"3,967",0,0,0,0,1,0,,,
Cruzília,MG,"14,716",0,0,0,0,0,0,,,
Cuparaque,MG,"4,728",0,2,0,0,2,0,,,
Curral de Dentro,MG,"7,055",0,0,0,0,0,0,,,
Datas,MG,"5,237",0,0,0,0,0,0,,,
Delfim Moreira,MG,"7,962",0,0,0,0,0,0,,,
Delfinópolis,MG,"6,869",0,0,0,0,0,0,,,
Delta,MG,"8,546",0,1,0,1,1,1,,,
Descoberto,MG,"4,804",0,0,0,0,0,0,,,
Desterro de Entre Rios,MG,"7,032",0,0,0,0,1,0,,,
Desterro do Melo,MG,"2,986",0,1,0,0,1,0,,,
Diogo de Vasconcelos,MG,"3,830",1,0,0,1,0,0,,,
Dionísio,MG,"8,520",0,0,0,0,1,0,,,
Divinésia,MG,"3,309",0,0,0,0,0,0,,,
Divino,MG,"19,241",2,1,1,3,2,1,,,
Divino das Laranjeiras,MG,"4,933",1,1,0,1,1,0,,,
Divinolândia de Minas,MG,"7,114",1,0,0,1,0,0,,,
Divisa Alegre,MG,"6,046",0,0,0,0,0,0,,,
Divisa Nova,MG,"5,797",0,1,0,0,1,0,,,
Divisópolis,MG,"9,351",0,0,0,0,0,1,,,
Dom Bosco,MG,"3,778",0,0,0,0,0,0,,,
Dom Cavati,MG,"5,170",0,0,0,0,0,0,,,
Dom Joaquim,MG,"4,511",0,0,0,0,0,0,,,
Dom Silvério,MG,"5,192",0,0,0,1,0,0,,,
Dom Viçoso,MG,"2,988",0,0,0,0,0,0,,,
Dona Eusébia,MG,"6,098",0,0,0,0,0,0,,,
Dores de Campos,MG,"9,443",0,0,0,0,0,0,,,
Dores de Guanhães,MG,"5,200",1,0,0,1,0,0,,,
Dores do Indaiá,MG,"13,686",1,0,0,2,0,1,,,
Dores do Turvo,MG,"4,412",0,2,0,0,2,0,,,
Doresópolis,MG,"1,454",0,0,0,0,0,0,,,
Douradoquara,MG,"1,850",0,0,0,0,0,0,,,
Durandé,MG,"7,487",0,0,0,0,0,0,,,
Engenheiro Caldas,MG,"10,421",0,3,0,0,3,0,,,
Engenheiro Navarro,MG,"7,128",0,1,0,0,1,0,,,
Entre Folhas,MG,"5,194",0,0,1,1,0,1,,,
Entre Rios de Minas,MG,"14,413",1,0,1,1,1,1,,,
Ervália,MG,"18,087",2,2,4,2,3,4,,,
Espírito Santo do Dourado,MG,"4,470",0,0,0,0,0,0,,,
Estiva,MG,"10,918",0,1,0,0,1,0,,,
Estrela Dalva,MG,"2,440",0,0,0,0,0,0,,,
Estrela do Indaiá,MG,"3,504",0,0,0,0,0,0,,,
Estrela do Sul,MG,"7,532",0,0,0,1,0,0,,,
Eugenópolis,MG,"10,657",0,0,0,0,0,0,,,
Ewbank da Câmara,MG,"3,775",0,1,0,0,1,0,,,
Fama,MG,"2,350",0,0,0,0,0,0,,,
Faria Lemos,MG,"3,342",0,0,0,0,0,0,,,
Felício dos Santos,MG,"5,054",1,0,0,1,0,0,,,
Felisburgo,MG,"6,974",1,0,0,1,0,0,,,
Felixlândia,MG,"14,323",1,0,0,1,0,1,,,
Fernandes Tourinho,MG,"3,101",0,0,0,0,0,0,,,
Ferros,MG,"10,612",1,1,1,1,1,1,,,
Fervedouro,MG,"10,452",1,2,1,1,2,1,,,
Florestal,MG,"6,744",0,1,1,0,1,1,,,
Formoso,MG,"8,427",0,0,1,0,0,1,,,
Fortaleza de Minas,MG,"4,150",0,0,0,0,0,0,,,
Fortuna de Minas,MG,"2,746",0,0,0,0,0,0,,,
Francisco Badaró,MG,"10,239",0,0,0,0,0,0,,,
Francisco Dumont,MG,"4,920",0,0,0,0,0,0,,,
Franciscópolis,MG,"5,706",0,0,0,0,0,0,,,
Frei Gaspar,MG,"5,865",0,2,0,0,2,0,,,
Frei Inocêncio,MG,"9,033",2,3,6,2,3,6,,,
Frei Lagonegro,MG,"3,350",1,0,0,1,0,0,,,
Fronteira,MG,"14,799",0,1,0,0,1,0,,,
Fronteira dos Vales,MG,"4,655",0,0,0,0,0,0,,,
Fruta de Leite,MG,"5,814",0,1,0,0,1,0,,,
Funilândia,MG,"3,942",0,0,1,0,0,1,,,
Galiléia,MG,"6,908",0,0,0,0,0,0,,,
Gameleiras,MG,"5,121",1,0,0,1,0,0,,,
Glaucilândia,MG,"2,992",0,0,0,0,0,0,,,
Goiabeira,MG,"3,105",0,0,0,0,0,0,,,
Goianá,MG,"3,710",0,0,0,0,0,0,,,
Gonçalves,MG,"4,235",0,0,0,0,0,0,,,
Gonzaga,MG,"5,953",0,0,0,0,0,0,,,
Gouveia,MG,"11,680",0,0,0,0,0,0,,,
Grão Mogol,MG,"15,145",1,0,0,1,1,0,,,
Grupiara,MG,"1,373",0,0,0,0,0,0,,,
Guapé,MG,"13,911",0,0,0,0,0,0,,,
Guaraciaba,MG,"10,218",0,1,1,0,1,1,,,
Guaraciama,MG,"4,756",0,1,0,0,1,0,,,
Guaranésia,MG,"18,727",0,0,0,0,0,0,,,
Guarani,MG,"8,702",0,0,0,0,0,0,,,
Guarará,MG,"3,894",0,0,0,0,0,0,,,
Guarda-Mor,MG,"6,552",0,0,0,0,0,0,,,
Guidoval,MG,"7,164",0,0,0,0,0,0,,,
Guimarânia,MG,"7,399",0,1,2,1,1,2,,,
Guiricema,MG,"8,624",2,0,0,2,0,0,,,
Gurinhatã,MG,"6,025",0,0,0,0,0,0,,,
Heliodora,MG,"6,192",0,0,0,0,0,0,,,
Iapu,MG,"10,406",1,2,0,1,2,0,,,
Ibertioga,MG,"5,021",0,0,0,0,0,0,,,
Ibiaí,MG,"7,928",1,0,0,1,0,0,,,
Ibiracatu,MG,"6,098",1,0,0,1,0,0,,,
Ibiraci,MG,"12,470",0,1,0,0,1,0,,,
Ibitiúra de Minas,MG,"3,395",0,0,0,0,0,0,,,
Ibituruna,MG,"2,883",0,0,0,0,0,0,,,
Icaraí de Minas,MG,"10,963",0,0,0,0,0,0,,,
Igaratinga,MG,"9,553",0,0,0,1,0,1,,,
Iguatama,MG,"7,993",0,0,0,0,0,0,,,
Ijaci,MG,"5,980",0,0,0,0,0,0,,,
Ilicínea,MG,"11,633",0,1,0,1,1,0,,,
Imbé de Minas,MG,"6,502",1,0,0,1,0,0,,,
Inconfidentes,MG,"6,973",0,0,0,0,0,0,,,
Indaiabira,MG,"7,316",0,0,0,0,0,0,,,
Indianópolis,MG,"6,312",0,0,0,3,0,0,,,
Ingaí,MG,"2,650",0,0,0,0,0,0,,,
Inhaúma,MG,"5,846",1,2,0,1,2,0,,,
Inimutaba,MG,"7,034",0,0,0,0,0,0,,,
Ipaba,MG,"17,037",2,1,2,2,1,3,,,
Ipanema,MG,"18,455",2,2,0,2,2,0,,,
Ipiaçu,MG,"4,120",0,0,0,0,0,1,,,
Ipuiúna,MG,"9,607",0,1,0,0,1,0,,,
Iraí de Minas,MG,"6,553",0,0,0,1,0,0,,,
Itabirinha,MG,"10,826",2,3,2,2,3,2,,,
Itacambira,MG,"5,053",0,0,0,0,0,0,,,
Itacarambi,MG,"17,761",1,1,0,1,1,0,,,
Itaguara,MG,"12,534",0,0,0,0,0,0,,,
Itaipé,MG,"11,957",1,1,1,1,2,1,,,
Itamarati de Minas,MG,"4,123",0,0,0,0,0,0,,,
Itambé do Mato Dentro,MG,"2,238",0,0,0,0,0,0,,,
Itamogi,MG,"10,293",0,0,0,0,0,0,,,
Itamonte,MG,"14,276",1,0,0,1,0,0,,,
Itanhandu,MG,"14,366",0,0,1,0,0,1,,,
Itanhomi,MG,"11,899",0,0,0,0,0,0,,,
Itapagipe,MG,"13,932",0,0,0,0,0,0,,,
Itapeva,MG,"8,861",0,0,0,0,0,0,,,
Itatiaiuçu,MG,"10,142",0,2,1,1,2,1,,,
Itaú de Minas,MG,"15,135",0,0,0,0,0,0,,,
Itaverava,MG,"5,711",0,0,0,0,0,0,,,
Itinga,MG,"14,485",0,0,0,0,0,0,,,
Itueta,MG,"5,859",0,0,0,0,0,0,,,
Itumirim,MG,"6,101",0,0,0,0,0,0,,,
Itutinga,MG,"3,879",0,0,1,0,0,1,,,
Jaboticatubas,MG,"17,679",0,2,1,0,2,1,,,
Jacinto,MG,"12,142",0,0,0,0,0,0,,,
Jacuí,MG,"7,520",0,0,0,1,0,0,,,
Jaguaraçu,MG,"3,011",0,0,0,0,0,0,,,
Jampruca,MG,"5,121",0,0,0,0,0,0,,,
Japaraíba,MG,"4,010",0,0,0,0,0,0,,,
Japonvar,MG,"8,331",0,0,0,0,1,0,,,
Jeceaba,MG,"5,288",0,0,0,0,0,0,,,
Jenipapo de Minas,MG,"7,211",0,0,0,0,0,0,,,
Jequeri,MG,"12,726",2,0,2,3,0,2,,,
Jequitaí,MG,"7,893",1,0,0,1,0,0,,,
Jequitibá,MG,"5,154",0,0,0,0,0,0,,,
Jesuânia,MG,"4,760",0,0,0,0,0,0,,,
Joaíma,MG,"15,000",1,0,0,1,1,1,,,
Joanésia,MG,"5,246",0,0,0,0,0,0,,,
Joaquim Felício,MG,"4,371",0,0,0,0,1,2,,,
Jordânia,MG,"10,394",0,0,0,0,0,0,,,
José Gonçalves de Minas,MG,"4,532",0,0,0,0,1,0,,,
José Raydan,MG,"4,487",0,0,0,0,0,0,,,
Josenópolis,MG,"4,614",1,1,0,1,1,0,,,
Juramento,MG,"4,146",0,0,0,0,0,0,,,
Juruaia,MG,"9,474",0,1,0,0,1,0,,,
Juvenília,MG,"5,697",0,0,1,0,0,1,,,
Ladainha,MG,"17,170",0,0,3,0,0,4,,,
Lagamar,MG,"7,584",0,0,0,0,0,0,,,
Lagoa dos Patos,MG,"4,191",1,0,0,1,0,0,,,
Lagoa Dourada,MG,"12,373",0,0,0,0,0,0,,,
Lagoa Formosa,MG,"17,293",0,1,1,1,1,1,,,
Lagoa Grande,MG,"8,786",0,0,0,1,0,0,,,
Lajinha,MG,"19,622",2,4,3,2,4,4,,,
Lambari,MG,"19,752",0,0,0,0,1,0,,,
Lamim,MG,"3,432",0,0,0,0,1,0,,,
Laranjal,MG,"6,517",0,0,0,0,0,0,,,
Lassance,MG,"6,474",0,0,0,1,0,0,,,
Leandro Ferreira,MG,"3,202",0,0,0,0,0,0,,,
Leme do Prado,MG,"4,815",0,0,0,0,0,0,,,
Liberdade,MG,"5,279",0,0,0,0,0,0,,,
Lima Duarte,MG,"16,216",1,0,0,1,0,0,,,
Limeira do Oeste,MG,"6,999",0,0,2,0,0,2,,,
Lontra,MG,"8,506",0,0,0,0,0,0,,,
Luisburgo,MG,"6,225",0,0,0,0,1,0,,,
Luislândia,MG,"6,443",0,0,0,0,0,0,,,
Luminárias,MG,"5,413",0,0,1,0,0,1,,,
Luz,MG,"17,585",0,0,1,0,0,1,,,
Machacalis,MG,"6,985",0,0,0,0,0,0,,,
Madre de Deus de Minas,MG,"4,930",0,0,0,0,0,0,,,
Malacacheta,MG,"18,705",2,1,1,2,1,1,,,
Mamonas,MG,"6,349",0,0,0,0,0,0,,,
Manga,MG,"19,489",5,1,3,5,2,3,,,
Mar de Espanha,MG,"11,928",0,0,0,0,0,0,,,
Maravilhas,MG,"7,304",1,0,1,1,0,1,,,
Maria da Fé,MG,"14,157",0,0,0,0,0,0,,,
Marilac,MG,"4,189",0,0,0,0,0,0,,,
Mário Campos,MG,"13,594",2,0,3,3,0,5,,,
Maripá de Minas,MG,"2,818",0,0,0,0,0,0,,,
Marliéria,MG,"4,008",0,0,0,0,0,0,,,
Marmelópolis,MG,"2,919",0,0,0,0,0,0,,,
Martinho Campos,MG,"12,731",0,0,1,0,0,1,,,
Martins Soares,MG,"7,398",2,1,0,2,1,0,,,
Mata Verde,MG,"7,994",0,0,0,0,0,0,,,
Materlândia,MG,"4,558",1,0,1,1,0,1,,,
Mathias Lobato,MG,"3,329",1,0,2,1,0,2,,,
Matias Barbosa,MG,"13,603",0,0,0,0,0,0,,,
Matias Cardoso,MG,"10,188",0,1,1,0,1,1,,,
Matipó,MG,"17,843",0,1,3,0,1,3,,,
Mato Verde,MG,"12,609",0,1,0,0,1,0,,,
Matutina,MG,"3,750",0,0,0,0,0,0,,,
Medeiros,MG,"3,506",0,0,0,0,0,0,,,
Mendes Pimentel,MG,"6,338",2,2,3,2,2,3,,,
Mercês,MG,"10,415",1,0,0,1,0,0,,,
Mesquita,MG,"5,963",0,0,1,0,0,1,,,
Minduri,MG,"3,841",0,0,0,0,0,0,,,
Mirabela,MG,"13,116",1,0,1,1,1,1,,,
Miradouro,MG,"10,324",1,2,1,1,2,1,,,
Miraí,MG,"14,009",0,1,0,0,2,0,,,
Miravânia,MG,"4,604",2,1,3,2,1,4,,,
Moeda,MG,"4,723",0,0,4,0,0,4,,,
Moema,MG,"7,106",0,0,0,0,3,0,,,
Monjolos,MG,"2,327",0,0,0,0,0,0,,,
Monsenhor Paulo,MG,"8,244",0,0,0,0,0,0,,,
Montalvânia,MG,"15,631",0,1,0,0,1,0,,,
Monte Alegre de Minas,MG,"19,863",1,1,0,3,1,2,,,
Monte Belo,MG,"13,049",0,0,0,0,0,0,,,
Monte Formoso,MG,"4,693",0,0,0,0,0,0,,,
Montezuma,MG,"7,599",0,0,0,0,0,0,,,
Morada Nova de Minas,MG,"8,353",0,0,1,0,0,1,,,
Morro da Garça,MG,"2,615",0,0,0,0,0,0,,,
Morro do Pilar,MG,"3,349",0,0,0,0,0,0,,,
Munhoz,MG,"6,197",0,0,0,0,0,0,,,
Nacip Raydan,MG,"3,159",0,0,0,0,0,0,,,
Naque,MG,"6,453",0,1,1,0,1,1,,,
Natalândia,MG,"3,279",0,0,0,0,0,0,,,
Natércia,MG,"4,661",0,0,0,0,0,1,,,
Nazareno,MG,"8,062",0,0,0,0,0,0,,,
Ninheira,MG,"9,885",0,0,0,0,0,0,,,
Nova Belém,MG,"3,617",1,0,1,1,0,1,,,
Nova Era,MG,"17,494",0,0,2,0,0,2,,,
Nova Módica,MG,"3,744",0,0,0,0,0,0,,,
Nova Ponte,MG,"13,314",1,0,0,1,1,0,,,
Nova Porteirinha,MG,"7,400",0,2,2,0,3,2,,,
Nova Resende,MG,"15,599",0,0,1,0,0,1,,,
Nova União,MG,"5,575",0,0,2,0,0,2,,,
Novo Oriente de Minas,MG,"10,395",4,1,1,4,1,1,,,
Novorizonte,MG,"5,017",0,0,0,0,0,0,,,
Olaria,MG,"1,927",0,0,0,0,0,0,,,
Olhos-d'Água,MG,"5,416",0,0,1,0,0,1,,,
Olímpio Noronha,MG,"2,577",0,0,0,0,0,0,,,
Oliveira Fortes,MG,"2,120",0,2,0,0,2,0,,,
Onça de Pitangui,MG,"3,066",0,0,0,0,0,0,,,
Oratórios,MG,"4,514",0,0,1,1,0,1,,,
Orizânia,MG,"7,409",0,0,0,0,0,0,,,
Ouro Verde de Minas,MG,"5,985",0,1,1,0,1,1,,,
Padre Carvalho,MG,"5,926",0,2,0,0,2,0,,,
Padre Paraíso,MG,"19,057",2,6,5,2,6,6,,,
Pai Pedro,MG,"5,950",0,0,0,0,0,0,,,
Paineiras,MG,"4,592",1,0,0,1,0,0,,,
Pains,MG,"8,047",0,0,0,0,0,0,,,
Paiva,MG,"1,549",0,0,0,0,0,0,,,
Palma,MG,"6,543",0,0,0,0,0,0,,,
Palmópolis,MG,"6,636",0,0,0,0,1,0,,,
Papagaios,MG,"14,433",3,5,2,4,5,2,,,
Paraisópolis,MG,"19,664",0,1,0,0,1,0,,,
Passa Quatro,MG,"15,692",0,0,0,0,0,0,,,
Passa Tempo,MG,"8,155",0,1,1,0,1,1,,,
Passabém,MG,"1,739",0,0,0,0,0,0,,,
Passa-Vinte,MG,"2,067",0,0,0,0,0,0,,,
Patis,MG,"5,642",0,0,0,0,0,0,,,
Patrocínio do Muriaé,MG,"5,352",1,0,1,1,0,1,,,
Paula Cândido,MG,"9,307",2,0,0,3,0,0,,,
Paulistas,MG,"4,889",0,0,0,0,0,0,,,
Pavão,MG,"8,541",1,1,0,1,1,0,,,
Peçanha,MG,"17,272",3,1,5,3,1,5,,,
Pedra Bonita,MG,"6,739",1,0,0,1,0,0,,,
Pedra do Anta,MG,"3,361",0,1,0,0,1,0,,,
Pedra do Indaiá,MG,"3,885",0,0,0,0,0,0,,,
Pedra Dourada,MG,"2,247",1,0,1,1,0,1,,,
Pedralva,MG,"11,386",0,0,0,0,0,0,,,
Pedras de Maria da Cruz,MG,"10,534",0,0,5,0,0,5,,,
Pedrinópolis,MG,"3,510",0,0,0,0,0,0,,,
Pedro Teixeira,MG,"1,785",0,0,0,0,0,0,,,
Pequeri,MG,"3,188",0,0,0,0,0,0,,,
Pequi,MG,"4,131",0,0,1,0,1,1,,,
Perdigão,MG,"9,396",2,1,1,2,1,1,,,
Perdizes,MG,"14,713",0,0,0,0,0,0,,,
Periquito,MG,"6,975",1,2,4,1,2,4,,,
Pescador,MG,"4,142",0,0,1,0,0,1,,,
Piau,MG,"2,816",0,0,0,0,0,0,,,
Piedade de Caratinga,MG,"7,377",0,1,0,0,1,0,,,
Piedade de Ponte Nova,MG,"4,067",1,0,0,1,0,0,,,
Piedade do Rio Grande,MG,"4,656",0,0,0,0,0,0,,,
Piedade dos Gerais,MG,"4,696",1,0,0,1,0,0,,,
Pimenta,MG,"8,299",0,1,0,0,1,0,,,
Pingo-d'Água,MG,"4,511",0,1,2,0,1,2,,,
Pintópolis,MG,"7,251",0,0,0,0,0,0,,,
Piracema,MG,"6,391",0,0,0,0,0,0,,,
Pirajuba,MG,"4,946",1,0,0,1,0,0,,,
Piranga,MG,"17,266",0,0,0,0,0,1,,,
Piranguçu,MG,"5,254",0,0,0,0,0,0,,,
Piranguinho,MG,"8,110",0,0,0,0,0,0,,,
Pirapetinga,MG,"10,414",0,0,1,0,0,1,,,
Piraúba,MG,"10,821",1,0,1,1,0,1,,,
Planura,MG,"10,700",0,0,1,0,0,1,,,
Poço Fundo,MG,"16,082",0,0,0,0,0,0,,,
Pocrane,MG,"8,856",1,0,2,1,0,2,,,
Ponto Chique,MG,"4,014",0,0,0,0,0,0,,,
Ponto dos Volantes,MG,"11,469",0,0,1,0,0,1,,,
Porto Firme,MG,"10,560",1,1,0,1,1,0,,,
Poté,MG,"15,801",3,0,1,3,0,2,,,
Pouso Alto,MG,"6,145",0,0,0,0,0,0,,,
Prados,MG,"8,495",0,0,0,0,0,0,,,
Pratápolis,MG,"8,746",0,0,2,0,0,2,,,
Pratinha,MG,"3,323",0,0,0,0,0,0,,,
Presidente Bernardes,MG,"5,491",0,0,0,0,0,0,,,
Presidente Juscelino,MG,"3,846",0,0,1,0,0,1,,,
Presidente Kubitschek,MG,"2,961",0,0,0,0,0,0,,,
Presidente Olegário,MG,"18,698",0,0,1,1,0,2,,,
Prudente de Morais,MG,"9,776",0,0,0,0,0,0,,,
Quartel Geral,MG,"3,346",0,0,0,0,0,0,,,
Queluzito,MG,"1,872",0,0,0,0,0,0,,,
Raposos,MG,"15,502",0,0,0,0,0,0,,,
Recreio,MG,"10,316",0,0,0,0,0,1,,,
Reduto,MG,"6,667",0,1,1,0,1,1,,,
Resende Costa,MG,"11,001",0,0,0,0,0,0,,,
Resplendor,MG,"17,107",3,2,0,3,2,0,,,
Ressaquinha,MG,"4,735",0,0,0,0,0,0,,,
Riachinho,MG,"8,013",0,1,2,0,1,2,,,
Riacho dos Machados,MG,"9,361",0,1,0,0,1,0,,,
Ribeirão Vermelho,MG,"3,857",0,0,0,0,0,0,,,
Rio Acima,MG,"9,307",0,0,2,0,0,2,,,
Rio Casca,MG,"14,042",1,1,2,1,1,2,,,
Rio do Prado,MG,"5,191",0,0,0,0,0,0,,,
Rio Doce,MG,"2,488",0,0,0,0,0,1,,,
Rio Espera,MG,"5,939",0,0,0,0,0,0,,,
Rio Manso,MG,"5,372",0,0,0,0,0,0,,,
Rio Novo,MG,"8,737",1,1,1,1,1,2,,,
Rio Paranaíba,MG,"11,939",0,0,0,0,0,0,,,
Rio Piracicaba,MG,"14,151",0,0,0,0,0,0,,,
Rio Pomba,MG,"17,224",1,0,1,1,0,2,,,
Rio Preto,MG,"5,315",0,0,0,0,0,0,,,
Rio Vermelho,MG,"13,455",1,0,1,2,0,1,,,
Ritápolis,MG,"4,850",1,0,0,1,0,0,,,
Rochedo de Minas,MG,"2,148",0,0,0,0,0,0,,,
Rodeiro,MG,"7,093",1,1,0,1,1,0,,,
Romaria,MG,"3,575",0,0,0,0,0,0,,,
Rosário da Limeira,MG,"4,305",0,0,0,0,0,0,,,
Rubelita,MG,"7,406",0,1,0,0,1,0,,,
Rubim,MG,"9,958",2,0,0,2,0,0,,,
Sabinópolis,MG,"15,619",2,0,1,2,2,2,,,
Salto da Divisa,MG,"6,872",0,0,1,0,0,1,,,
Santa Bárbara do Leste,MG,"7,754",0,1,0,0,1,0,,,
Santa Bárbara do Monte Verde,MG,"2,852",0,0,0,0,0,0,,,
Santa Bárbara do Tugúrio,MG,"4,532",0,0,0,0,0,0,,,
Santa Cruz de Minas,MG,"7,990",0,0,1,0,0,1,,,
